line,station,pm25,longitude,latitude
District,Hornchurch,3,0.219025243887781,51.5540028973922
District,Mansion House,79,-0.0941862553677917,51.5120194809428
District,Mile End,82,-0.0334108387183889,51.5250896089283
District,Monument,79,-0.0889425138013583,51.5133459887229
District,Plaistow,13,0.0178062776497074,51.5312159927125
District,Ravenscourt Park,2,-0.236254750538202,51.4941348461952
District,Sloane Square,57,-0.156491756080546,51.4922876241935
District,South Kensington,45,-0.173925894121211,51.4939991962878
District,St. James's Park,94,-0.134177732422094,51.4993445670645
District,Stamford Brook,2,-0.245449157592304,51.4947943236457
District,Stepney Green,127,-0.0464636979729374,51.5219085262753
District,Temple,82,-0.113699915185203,51.5109680760482
District,Tower Hill,91,-0.0763547925529849,51.5100647442361
District,Turnham Green,2,-0.25452731041433,51.4951096367461
District,Upminster,2,0.251089475157128,51.5588866621079
District,Upminster Bridge,6,0.235775351536325,51.5587478663842
District,Upney,3,0.10157165914665,51.538333167665
District,Upton Park,15,0.0352725794471313,51.5352307177136
District,Victoria,75,-0.143852003214913,51.4963417077255
District,West Ham,21,0.00504268288418963,51.5281795214982
District,West Kensington,15,-0.206476798704215,51.4904908961814
District,Westminster,104,-0.124813404822685,51.5010836418734
District,Whitechapel,104,-0.0599883533363733,51.519453211743
Bakerloo,Baker Street,273,-0.156907095550195,51.5230574801318
Bakerloo,Charing Cross,223,-0.124750139920854,51.5085913980902
Bakerloo,Edgware Road Bakerloo,311,-0.170140166750187,51.5201802474048
Bakerloo,Elephant & Castle,76,-0.100727305415241,51.4957771029042
Bakerloo,Embankment,227,-0.122355890226947,51.507240181685
Bakerloo,Harlesden,16,-0.257498072648788,51.5361950061471
Bakerloo,Harrow & Wealdstone,17,-0.335233900242888,51.592212361308
Bakerloo,Kensal Green,27,-0.224715828087813,51.5304609472902
Bakerloo,Kenton,19,-0.317169124443548,51.5817845618982
Bakerloo,Kilburn Park,150,-0.193968544665849,51.5350723215204
Bakerloo,Lambeth North,173,-0.111756833497106,51.4990576491891
Bakerloo,Maida Vale,268,-0.185629243233205,51.5297640015609
Bakerloo,Marylebone,303,-0.163110476104703,51.5222195717944
Bakerloo,North Wembley,31,-0.304161163333056,51.5624888049771
Bakerloo,Oxford Circus,263,-0.141762740053752,51.5151209634782
Bakerloo,Paddington,244,-0.175394293305568,51.515307249534
Bakerloo,Piccadilly Circus,244,-0.134000809859946,51.5100248728504
Bakerloo,Queen's Park,56,-0.204705409937602,51.5341040815331
Bakerloo,Regent's Park,243,-0.146856145064191,51.5235016169407
Bakerloo,South Kenton,42,-0.308593908102643,51.5701692162948
Bakerloo,Stonebridge Park,46,-0.275402815357368,51.5439232026704
